"21999D",3.50,3.20,2.90,3.00,3.16,3.00,3.37,3.62,3.37,3.00,2.25,3.50,3.37,3.00,2.50,3.00,3.50,3.12,3.37,3.37,2.50,3.25,3.25,2.75,2.62,3.50,3.12
"21999F",3.68,3.35,3.34,3.45,2.95,3.79,3.50,3.87,3.37,2.62,3.62,3.50,3.50,3.50,3.62,2.00,3.50,3.62,3.87,3.50,3.37,3.50,3.00,2.37,3.62,4.12,3.87
"21999G",3.68,3.33,2.96,3.29,3.25,3.16,3.62,3.75,3.12,2.75,2.37,3.62,3.12,3.25,3.00,3.00,3.50,3.25,3.37,3.50,3.12,3.50,3.62,2.50,3.00,4.25,3.12
"21999H",2.75,3.16,2.65,2.79,3.54,2.62,2.75,2.75,3.50,3.12,2.62,3.62,3.12,2.75,1.75,2.87,3.12,2.12,3.12,3.62,2.50,2.75,3.62,3.37,2.37,3.50,3.00
"22102",4.50,3.77,3.81,3.16,2.95,4.33,4.87,4.12,3.75,3.00,4.00,3.75,4.00,3.62,4.50,2.87,3.75,3.75,4.25,4.12,2.12,4.50,3.37,1.75,3.75,4.12,4.25
"22105A",4.18,3.56,3.56,3.12,2.87,4.37,4.37,4.00,3.75,2.87,3.87,3.62,3.37,3.37,4.62,3.00,3.87,3.62,4.25,3.75,2.12,3.87,3.25,1.75,3.50,4.00,4.25
"22105B",4.00,3.47,3.25,2.95,2.66,4.00,4.25,3.75,3.75,2.87,3.37,3.00,3.50,3.25,4.12,3.25,4.00,3.25,4.00,3.75,1.62,3.50,3.00,2.00,3.00,3.62,3.87
"22105C",3.87,3.45,3.37,2.95,2.91,4.12,4.00,3.75,3.75,3.00,3.25,3.62,3.50,3.12,4.25,3.12,4.00,3.50,4.00,3.62,1.75,3.75,3.12,2.00,3.37,3.37,4.12
"22105D",3.93,3.60,3.18,3.00,2.91,4.00,4.12,3.75,3.62,3.00,2.50,3.37,3.62,3.12,4.00,3.25,4.00,3.50,4.00,3.75,1.87,3.75,3.37,2.00,3.50,3.87,4.00
"22108",4.06,3.41,3.62,3.08,3.00,4.16,4.12,4.00,3.62,3.12,4.00,3.50,3.75,3.37,3.87,2.75,3.37,3.37,4.37,3.75,2.50,4.00,3.25,2.25,3.62,3.00,4.25
"22111",4.12,3.56,3.65,3.16,2.95,4.04,4.37,3.87,3.62,3.12,3.75,3.37,3.87,3.50,4.00,2.75,3.62,3.62,4.00,3.75,2.37,4.12,3.50,2.00,3.75,3.62,4.12
